text,date,label,label_name,id
Game day for {{USERNAME}} U18’s against {{USERNAME}} U18’s. Even though it’s a ‘home’ game for the people that have settled in Mid Wales it’s still a 4 hour round trip for us up to Colwyn Bay. Still enjoy it though!,2019-09-08,4,sports_&_gaming,1170606779568463874
"⚽️ This afternoon we have our first League game of the season ⚽️   Sunday 8th September 2019.  ⚽️ {{USERNAME}} Vs {{USERNAME}}  SWRWFL - Northern Division   The Field, Almondsbury, Bristol, BS32 4AA.   2PM   #WeAreBoco #comeandshowyoursupport",2019-09-08,4,sports_&_gaming,1170607436924952576
Might watch the {@Tennessee Titans@} game only to see the {@Cleveland Browns@} tho,2019-09-08,4,sports_&_gaming,1170666727845376000
. {@Asante Kotoko SC@} should have moved for this President s Cup game to be cancelled.   They shouldn t be risking their players safety when they have a continental assignment coming up.  Disgraceful.,2019-09-08,4,sports_&_gaming,1170728379290673154
Massive WELL DONE to BSLFC Reserves today in their Friendly winning a smashing 15-0.  Goals and assists:  Stacey  @AbiRigler ⚽️⚽️⚽️ Sam ⚽️ Chelsea ⚽️⚽️ Rocket ⚽️ {{USERNAME}} ⚽️ Lauren ⚽️⚽️ Becky ⚽️⚽️ Doxa ⚽️ Kim ⚽️ Debs ⚽️ LEAGUE GAME NEXT WEEK {@Hampshire FA@},2019-09-08,4,sports_&_gaming,1170788768690970624
SOCCER CHANGES TODAY vs {{USERNAME}} JV moved back to 5 today and varsity to 6 30 instead of 4 30 and 6. JV game shortened to 30 min halves running clock and both games mandatory water breaks.,2019-09-12,4,sports_&_gaming,1172207842163679234
WATCH {{USERNAME}} vs {@St Kilda FCW@} on the #VFLW website here: {{URL}} Early lead to the Saints.,2019-09-15,4,sports_&_gaming,1173052768442994690
Keep going armylegend  #PCAs #BoyWithLuv #TheMusicVideo {@BTS_twt@} vs as Bamako nakal speed,2019-09-15,2,pop_culture,1173112190527627265
#INDvSA | Coach Ravi Shastri and Shikhar Dhawan bond ahead of 1st T20I - See pic {@Ravi Shastri@} {@Shikhar Dhawan@} {{URL}},2019-09-15,4,sports_&_gaming,1173114193333014529
Rohit As An Opener  * IN ODI - Played 1st Match Vs SA (2011) * In Test - Going To Play First Match As Opener Vs SA (2019)* * T20 Debut IN SA * Maiden T20 50 Vs SA * Maiden ODI 50 As An Opener Vs SA  * Maiden T20I 100 Vs SA All D Best Champ {@Rohit Sharma@} #IndvsSA,2019-09-15,4,sports_&_gaming,1173173657440403456
Back in Gothenburg from {{USERNAME}} in Stockholm. I had a great time and there is still some time to visit it if you haven t yet. If you do I urge you to check out the comic  Sweden vs Aliens  written by… {{URL}},2019-09-15,0,arts_&_culture,1173203281444790272
"PHOTOS: Mayfield vs. Mentor girls soccer, Sept. 14, 2019 {{URL}} via {@News Herald preps@} ",2019-09-15,4,sports_&_gaming,1173203652451950592
Field Hockey travels to {{USERNAME}} for a 4pm contest; Video: {{URL}} - Live Stats: {{URL}} #d3fh,2019-09-17,4,sports_&_gaming,1174049130928386051
2019 E! People’s Choice AwardsPCAs Music Video  #TheMusicVideo #PCAs {@BTS_twt@} #BoyWithLuv,2019-09-22,2,pop_culture,1175650018016972800
2019 E! People’s Choice AwardsPCAs Music Video  #TheMusicVideo #PCAs {@BTS_twt@} #BoyWithLuv 3️⃣,2019-09-22,2,pop_culture,1175650108529987584
Read the full article from the Morning Star on the formation of Trade Unionists of Tomorrow’s working group  Thanks to TUOT’s own {@Lauren Townsend@} for a great article! {{URL}},2019-09-22,1,business_&_entrepreneurs,1175770273540399110
Aoa dear dear saudis Happy national day May Allah showers His blessings on Saudia May you live long Love you {@Reema Bandar Al Saud@},2019-09-22,0,arts_&_culture,1175862172817285121
"I have never been a big fan of superhero movies, but over the last three months {{USERNAME}} and I have watched the entire catalogue of movies in the Marvel Cinematic Universe. I must admit most of them were very enjoyable. #MCU #movies",2019-09-22,2,pop_culture,1175891048486330370
Via {@euronews@} : Climate targets need to be  five times more ambitious : scientists {{URL}},2019-09-23,5,science_&_technology,1176073141459783680
#NewVideo Cray Dollas- Water- Ft. Charlie Rose- (Official Music Video)- {{URL}} via {@YouTube@} #watchandlearn {{USERNAME}},2019-09-23,2,pop_culture,1176073191032328194
